[64, 86, 119, 30, 116, 89, 59, 91, 26, 69]
[10, 86, 26, 41, 0, 99, 61, 45, 34, 51]
[78, 45, 15, 19, 117, 36, 33, 56, 8, 0]
[67, 104, 12, 73, 8, 58, 62, 40, 30, 31]
[103, 68, 46, 18, 120, 103, 129, 75, 14, 77]
[49, 16, 29, 17, 51, 129, 72, 53, 48, 64]
[63, 14, 24, 11, 83, 90, 28, 99, 30, 37]
[58, 61, 124, 6, 0, 56, 2, 27, 26, 15]
[80, 108, 110, 3, 39, 37, 113, 15, 51, 70]
[64, 65, 107, 20, 25, 14, 45, 44, 58, 39]
[6, 88, 118, 1, 43, 102, 56, 57, 16, 79]
[101, 17, 39, 53, 13, 6, 25, 3, 129, 30]
[110, 107, 86, 92, 81, 108, 56, 28, 24, 11]
[99, 22, 13, 72, 121, 103, 117, 86, 60, 87]
[66, 19, 96, 66, 34, 128, 27, 4, 64, 25]
[13, 22, 25, 20, 13, 11, 9, 68, 24, 69]
[64, 53, 118, 121, 25, 109, 40, 48, 36, 119]
[35, 118, 118, 18, 80, 77, 47, 128, 5, 57]
[121, 74, 70, 105, 68, 53, 13, 28, 35, 87]
[45, 34, 91, 69, 27, 104, 63, 70, 9, 50]
[53, 72, 18, 73, 15, 6, 73, 60, 57, 22]
[90, 5, 103, 120, 66, 68, 96, 82, 54, 100]
[113, 72, 22, 127, 96, 30, 0, 24, 54, 33]
[52, 66, 23, 126, 104, 112, 21, 16, 41, 78]
[122, 13, 62, 70, 92, 90, 7, 75, 27, 14]
[46, 93, 119, 51, 77, 16, 58, 25, 111, 6]
[99, 35, 84, 58, 8, 114, 121, 122, 74, 42]
[91, 36, 25, 8, 24, 53, 62, 37, 60, 35]
[115, 44, 27, 93, 116, 116, 52, 24, 14, 32]
[33, 72, 90, 94, 40, 115, 29, 121, 119, 73]
[57, 35, 29, 83, 102, 21, 54, 69, 44, 10]
[26, 29, 66, 70, 8, 105, 75, 113, 0, 83]
[64, 2, 65, 129, 62, 129, 67, 129, 64, 129]
[64, 129, 67, 129, 65, 129, 62, 129, 67, 129]
[64, 129, 60, 129, 64, 129, 64, 129, 129, 129]
[67, 129, 64, 129, 64, 129, 67, 129, 69, 129]
[65, 129, 64, 129, 60, 129, 65, 129, 60, 129]
[62, 129, 64, 129, 65, 129, 65, 129, 69, 129]
[72, 129, 77, 129, 79, 129, 81, 129, 79, 129]
[129, 129, 81, 129, 129, 129, 76, 129, 129, 129]
[76, 129, 74, 129, 72, 129, 76, 129, 74, 129]
[129, 129, 71, 129, 74, 129, 76, 129, 74, 129]
[72, 129, 76, 129, 74, 129, 72, 129, 71, 129]
[72, 129, 74, 129, 77, 129, 76, 129, 74, 129]
[72, 129, 71, 129, 72, 129, 74, 129, 76, 129]
[74, 129, 72, 129, 76, 129, 74, 129, 72, 129]
[71, 129, 67, 129, 76, 129, 67, 129, 67, 129]
[77, 129, 76, 129, 72, 129, 76, 129, 72, 129]
