##########################################################################################################[64, 35, 129, 129, 129, 129, 129, 129, 129, 129]
[129, 129, 129, 129, 129, 129, 129, 129, 129, 41]
[129, 50, 129, 50, 129, 129, 129, 48, 50, 50]
[50, 55, 55, 55, 55, 55, 53, 53, 129, 50]
[56, 52, 129, 58, 129, 64, 129, 47, 129, 41]
[129, 41, 129, 41, 129, 43, 129, 43, 129, 36]
[129, 36, 129, 36, 129, 36, 129, 36, 129, 36]
[129, 36, 129, 36, 129, 36, 129, 38, 129, 48]
[129, 129, 129, 41, 129, 129, 129, 129, 129, 129]
[129, 129, 129, 43, 129, 129, 129, 129, 129, 129]
[129, 129, 129, 41, 129, 40, 129, 38, 129, 41]
[129, 43, 129, 43, 129, 40, 129, 40, 129, 41]
[129, 43, 129, 43, 129, 43, 129, 38, 129, 38]
[129, 38, 129, 43, 129, 43, 129, 43, 129, 43]
[129, 43, 129, 43, 129, 43, 129, 43, 129, 43]
[129, 38, 129, 43, 129, 43, 129, 38, 129, 40]
