##########################################################################################################[64, 53, 94, 31, 129, 60, 129, 129, 129, 129]
[62, 60, 60, 62, 57, 63, 62, 63, 65, 63]
[65, 129, 65, 67, 68, 67, 68, 67, 70, 69]
[129, 63, 58, 53, 60, 62, 60, 62, 129, 67]
[65, 63, 63, 62, 60, 62, 129, 129, 62, 60]
[58, 60, 57, 58, 70, 63, 57, 129, 65, 64]
[68, 129, 70, 69, 75, 129, 65, 67, 72, 129]
[69, 67, 70, 69, 67, 69, 129, 70, 67, 69]
[67, 60, 55, 129, 70, 69, 67, 68, 68, 67]
[65, 129, 67, 129, 129, 67, 65, 129, 67, 62]
[67, 129, 129, 129, 129, 129, 129, 62, 129, 72]
[70, 69, 67, 65, 63, 62, 60, 53, 57, 60]
[57, 60, 62, 60, 58, 57, 55, 57, 129, 57]
[60, 59, 129, 129, 62, 67, 129, 70, 69, 67]
[60, 62, 60, 58, 60, 62, 60, 58, 57, 62]
[60, 58, 57, 58, 129, 70, 69, 67, 129, 129]
