##########################################################################################################[64, 51, 57, 57, 58, 60, 58, 57, 55, 57]
[58, 57, 55, 53, 57, 58, 60, 72, 70, 65]
[72, 70, 69, 58, 70, 69, 67, 65, 63, 62]
[60, 58, 72, 70, 69, 63, 70, 69, 67, 55]
[69, 67, 65, 63, 62, 60, 58, 57, 70, 69]
[67, 62, 69, 67, 66, 55, 67, 65, 63, 62]
[65, 63, 62, 63, 65, 63, 62, 60, 70, 69]
[67, 69, 67, 66, 64, 62, 129, 65, 129, 62]
[129, 58, 57, 58, 129, 62, 129, 63, 129, 58]
[57, 58, 60, 62, 63, 65, 129, 58, 57, 58]
[129, 65, 129, 67, 69, 67, 65, 129, 65, 129]
[70, 129, 67, 129, 65, 63, 65, 129, 70, 129]
[63, 129, 62, 60, 62, 129, 58, 129, 65, 129]
[67, 65, 67, 129, 63, 129, 60, 69, 67, 60]
[69, 67, 65, 58, 67, 65, 64, 65, 60, 57]
[60, 65, 67, 65, 63, 58, 65, 63, 62, 57]
