##########################################################################################################[64, 68, 60, 57, 55, 53, 52, 129, 52, 52]
[129, 52, 129, 129, 129, 129, 129, 129, 129, 53]
[129, 129, 60, 55, 55, 129, 129, 129, 129, 60]
[59, 57, 55, 53, 50, 48, 129, 52, 129, 129]
[52, 52, 129, 52, 129, 62, 64, 129, 60, 53]
[129, 129, 129, 53, 129, 129, 54, 54, 129, 63]
[62, 129, 55, 52, 129, 52, 52, 129, 52, 129]
[52, 129, 129, 129, 58, 59, 129, 60, 129, 129]
[129, 129, 64, 129, 65, 67, 68, 65, 129, 129]
[129, 129, 129, 60, 129, 64, 129, 129, 129, 129]
[129, 60, 129, 65, 129, 129, 67, 64, 64, 129]
[65, 67, 68, 65, 129, 129, 129, 129, 129, 65]
[129, 64, 129, 129, 129, 129, 129, 66, 129, 65]
[129, 129, 64, 129, 129, 60, 129, 43, 129, 36]
[129, 36, 129, 36, 129, 36, 129, 36, 129, 36]
[129, 38, 40, 129, 129, 41, 129, 41, 129, 41]
